wikidata_id,name,imdb_id
Q236688,Dyan Cannon,nm0001007
Q237207,Kathleen Kennedy,nm0005086
Q236010,Sienna Guillory,nm0347149
Q236135,Romina Power,nm0694454
Q238594,Jill Kelly,nm0446483
Q238616,Joris Ivens,nm0412235
Q236630,Marcel Pagnol,nm0656528
Q36290,Diana Ross,nm0005384
Q6060,50 Cent,nm1265067
Q51516,John Madden,nm0006960
Q51519,Alan J. Pakula,nm0001587
Q5383,David Bowie,nm0000309
Q7516,Jonny Lee Miller,nm0001538
Q7542,Prince,nm0002239
Q37001,Toshirō Mifune,nm0001536
Q6078,Dr. Dre,nm0236564
Q7374,Alfred Hitchcock,nm0000033
Q36980,George Peppard,nm0000577
Q55438,Mario Bava,nm0000878
Q55443,Sergio Corbucci,nm0179281
Q4636,Barbra Streisand,nm0000659
Q237648,Caroline Rhea,nm0005352
Q237659,Penny Marshall,nm0001508
Q51490,George Stevens,nm0828419
Q51491,Michael Curtiz,nm0002031
Q37079,Tom Cruise,nm0000129
Q55453,Augusto Genina,nm0312866
Q55458,Mario Mattoli,nm0560395
Q237497,Cherie Currie,nm0192947
Q237645,Susan George,nm0001265
Q57147,Michael Fassbender,nm1055413
Q55428,Neil Jordan,nm0001403
Q55429,Jim Sheridan,nm0006487
Q56014,George Cukor,nm0002030
Q238464,Simon Pegg,nm0670408
Q55994,Mike Farrell,nm0268286
Q56005,Ridley Scott,nm0000631
Q55800,Oprah Winfrey,nm0001856
Q4617,Corbin Bleu,nm0088298
Q37175,Johnny Depp,nm0000136
Q51545,Luis Buñuel,nm0000320
Q238045,Kari Wuhrer,nm0001863
Q238881,Péter Forgács,nm0286282
Q38111,Leonardo DiCaprio,nm0000138
Q36970,Jackie Chan,nm0000329
Q51525,Miloš Forman,nm0001232
Q51537,Mike Nichols,nm0001566
Q8006,Akira Kurosawa,nm0000041
Q240490,Julie Taymor,nm0853380
Q55432,John Woo,nm0000247
Q51577,James Ivory,nm0412465
Q51564,John Landis,nm0000484
Q51566,Spike Lee,nm0000490
Q37459,Nicole Kidman,nm0000173
Q56093,Blake Edwards,nm0001175
Q56094,Francis Ford Coppola,nm0000338
Q51549,Jacques Tati,nm0004244
Q51552,Roman Polanski,nm0000591
Q56008,Tim Burton,nm0000318
Q57231,Tom Tykwer,nm0878756
Q57316,Volker Schlöndorff,nm0772522
Q38875,Mos Def,nm0080049
Q51522,Sydney Pollack,nm0001628
Q239453,Leslie Bibb,nm0004753
Q239823,Chantal Akerman,nm0001901
Q53002,François Truffaut,nm0000076
Q53003,Roberto Rossellini,nm0744023
Q51559,Sidney Lumet,nm0001486
Q240080,Ferdinand Zecca,nm0954087
Q240370,Robert Riskin,nm0728307
Q8289,Jamie Selkirk,nm0783241
Q39792,Jack Nicholson,nm0000197
Q8704,Walt Disney,nm0000370
Q51547,Billy Wilder,nm0000697
Q38222,George Lucas,nm0000184
Q39983,Anthony Rapp,nm0710829
Q40035,Richard Linklater,nm0000500
Q241154,Francesca Neri,nm0626202
Q241242,Raoul Ploquin,nm0687402
Q51498,Robert Siodmak,nm0802563
Q51506,Richard Attenborough,nm0000277
Q238378,Rhonda Byrne,nm0126279
Q238383,Heather Langenkamp,nm0000486
Q59972,Ladislao Vajda,nm0883334
Q60068,Rajinikanth,nm0707425
Q7546,Ingmar Bergman,nm0000005
Q242557,Anne Fletcher,nm0281945
Q242584,Judy Reyes,nm0721332
Q239895,Carmen Finestra,nm0277716
Q239897,Joann Sfar,nm2677924
Q40026,Sylvester Stallone,nm0000230
Q8296,Rupert Wyatt,nm1012501
Q8312,Nicholas Meyer,nm0583292
Q57932,Florian Henckel von Donnersmarck,nm0003697
Q58112,Vikram Prabhu,nm5076645
Q51570,George Roy Hill,nm0001351
Q51575,John Huston,nm0001379
Q59204,Alberto Lattuada,nm0490444
Q53009,Bernardo Bertolucci,nm0000934
Q53018,Marco Ferreri,nm0274659
Q53020,Carmine Gallone,nm0303120
Q40162,Kate Capshaw,nm0001009
Q40263,Jay Grdina,nm0827542
Q59129,Michael Cimino,nm0001047
Q59149,Claudia Llosa,nm2013191
Q240872,Lawrence Kasdan,nm0001410
Q240933,Joan Rivers,nm0001672
Q57391,Til Schweiger,nm0001709
Q51562,Ernst Lubitsch,nm0523932
Q51583,Joseph L. Mankiewicz,nm0000581
Q62323,Werner Schroeter,nm0775573
Q62503,Victor Fleming,nm0281808
Q240566,Mike Todd,nm0865239
Q240720,Deanna Russo,nm1495350
Q240869,Adrian Grenier,nm0004978
Q37876,Natalie Portman,nm0000204
Q9543,Salman Khan,nm0006795
Q58801,Conrad Veidt,nm0891998
Q58912,Courteney Cox,nm0001073
Q241510,Michael Biehn,nm0000299
Q241686,Lake Bell,nm1128572
Q243430,Terence Hill,nm0001352
Q59361,Waleed Zuaiter,nm0958206
Q60876,Heinz Rühmann,nm0004464
Q60905,Kurt Gerron,nm0314777
Q53043,Giovanni Pastrone,nm0665163
Q53045,Giuseppe Tornatore,nm0868153
Q53046,Carlo Verdone,nm0893872
Q61260,Gustaf Gründgens,nm0345073
Q61347,Uwe Boll,nm0093051
Q61441,Erich Pommer,nm0690143
Q53004,Vittorio De Sica,nm0001120
Q61881,Bernd Eichinger,nm0251536
