wikidata_id,name,imdb_id
Q583717,Robert H. Planck,nm0686514
Q585668,John Toll,nm0001799
Q528421,Nelly Kaplan,nm0438342
Q529749,Harry Waxman,nm0005924
Q530824,Alex Phillips,nm0006384
Q319849,Lukas Moodysson,nm0600546
Q322521,Ray Dennis Steckler,nm0824306
Q302645,Aaron Schneider,nm0773689
Q312290,Sven Nykvist,nm0005815
Q62652,Jost Vacano,nm0005911
Q66774,Ulli Lommel,nm0518579
Q67547,Harun Farocki,nm0267943
Q69810,Monika Treut,nm0872331
Q78719,Josef von Sternberg,nm0903049
Q78952,Hubert Sauper,nm0767012
Q82653,Andrea Segre,nm3113346
Q64337,Árpád Makay,nm0538451
Q64358,Hans-Jürgen Syberberg,nm0842944
Q64581,Theo Bierkens,nm0005656
Q65252,Jan Stallich,nm0005884
Q315062,Bille August,nm0000806
Q315325,Russ Meyer,nm0000540
Q1187853,Deniz Sözbir,nm3531496
Q1189064,Dennis Dalzell,nm0198538
Q1189418,Dennis Pauls,nm1857977
Q1200126,Derek V. Browne,nm0114988
Q1201218,Detlef Bothe,nm0098524
Q455900,Philip H. Lathrop,nm0005769
Q457890,Christopher Doyle,nm0236313
Q444545,Marie Rivière,nm0729691
Q445503,Victor Vicas,nm0895857
Q446427,Merian C. Cooper,nm0178260
Q448503,Alvaro Mancori,nm0005783
Q449514,Bo Widerberg,nm0927090
Q449828,Alwin H. Küchler,nm0473696
Q62942,Rosa von Praunheim,nm0902823
Q63069,Joseph Vilsmaier,nm0005917
Q73248,Bruno Mondi,nm0005804
Q74117,Günther Rittau,nm0005844
Q74626,Carl Hoffmann,nm0389155
Q77365,Walter Ruttmann,nm0752193
Q563004,Vilko Filač,nm0276803
Q568941,Loyal Griggs,nm0005729
Q572838,Anthony B. Richmond,nm0725072
Q573164,Anthony Dod Mantle,nm0230045
Q888489,Bobby Byrne,nm0126128
Q897981,István Gaál,nm0311179
Q899843,György Czabarka,nm0194312
Q899938,József Czencz,nm0194415
Q900157,Anna Czóbel,nm1531436
Q902080,Dariusz Wolski,nm0003011
Q650877,Ernesto Alonso,nm0022172
Q653778,Ari Kristinsson,nm0471664
Q655877,Frances Reid,nm0717266
Q460277,Roger Deakins,nm0005683
Q1173856,David Brückner,nm4103556
Q1174048,David Connell,nm0003604
Q1174309,David Eggby,nm0250867
Q1174622,David Gurfinkel,nm0005732
Q1175363,Gábor Medvigy,nm0575973
Q78263,Horst Grund,nm1592520
Q78383,Christian Alvart,nm0023355
Q622342,Apurba Kishore Bir,nm0083208
Q630736,Goutam Ghose,nm0315872
Q633967,Archie R. Dalzell,nm0198535
Q921687,Mohammed Lakhdar-Hamina,nm0482228
Q922700,Richard E. Cunha,nm0192157
Q922928,Jean Rabier,nm0704880
Q656924,Brian Tufano,nm0005909
Q657194,François Catonné,nm0146281
Q657828,Joseph Ruttenberg,nm0005853
Q658017,Bernard Lutic,nm0005781
Q936935,Johan van der Keuken,nm0450627
Q937733,Christophe Beaucarne,nm0064290
Q938708,Enzo Barboni,nm0005645
Q317567,Barry Sonnenfeld,nm0001756
Q317574,Mack Sennett,nm0784407
Q594400,Don Hertzfeldt,nm0381116
Q597096,Thierry Zéno,nm0959193
Q598995,Guy Maddin,nm0534665
Q916629,Teodoro Escamilla,nm0005700
Q917051,Brillante Mendoza,nm1137289
Q918531,Stephen H. Burum,nm0005664
Q679088,Armas Hirvonen,nm0386738
Q682383,Georges Schwizgebel,nm0777989
Q682762,Marco Berger,nm3014420
Q682888,Félix Monti,nm0599983
Q322960,Ted Tetzlaff,nm0005898
Q323074,Bernard Rose,nm0741262
Q323729,Russell Harlan,nm0005737
Q587102,Robert Downey Sr.,nm0002049
Q589679,Anton Giulio Borghesi,nm0096646
Q919722,Parvez Sharma,nm2204599
Q920674,Britta Becker,nm0065360
Q921068,Allen M. Davey,nm0202695
Q933596,Franco Piavoli,nm0681311
Q933856,Peter MacDonald,nm0003423
