wikidata_id,name,imdb_id
Q51490,George Stevens,nm0828419
Q51491,Michael Curtiz,nm0002031
Q55397,Kon Ichikawa,nm0406728
Q55400,Hayao Miyazaki,nm0594503
Q39803,Mario Vargas Llosa,nm0889771
Q271608,Lisa Niemi,nm0001568
Q271650,Cristina Rota,nm0744691
Q8873,Satyajit Ray,nm0006249
Q51492,Frank Capra,nm0001008
Q61099,Karoline Herfurth,nm0378932
Q61128,Percy Adlon,nm0000727
Q61199,Reiner Kunze,nm0475360
Q270848,Erika Lust,nm2848796
Q270901,Åke Ohlmarks,nm0645043
Q270911,Åke Sandgren,nm0761879
Q51476,Tod Browning,nm0115218
Q51488,John Cassavetes,nm0001023
Q39734,Osamu Kaneda,nm0437480
Q39792,Jack Nicholson,nm0000197
Q271284,Alan Parker,nm0000570
Q37450,Behruz Gharibpur,nm0315529
Q37714,Reema Kagti,nm1030373
Q61654,Max Skladanowsky,nm0804434
Q61831,Jerry Calà,nm0131033
Q37327,Samuel Beckett,nm0065716
Q217324,Jean-Pierre Jeunet,nm0000466
Q51489,M. Night Shyamalan,nm0796117
Q216748,Richard Thorpe,nm0861703
Q217037,Jerry Bruckheimer,nm0000988
Q37876,Natalie Portman,nm0000204
Q37079,Tom Cruise,nm0000129
Q51511,George A. Romero,nm0001681
Q51516,John Madden,nm0006960
Q51133,King Vidor,nm0896542
Q51461,Sam Peckinpah,nm0001603
Q271867,Janet Suzman,nm0840531
Q271554,Jennifer Westfeldt,nm0922724
Q51495,William Wyler,nm0943758
Q38849,Shintarō Ishihara,nm0410982
Q8312,Nicholas Meyer,nm0583292
Q8342,Robert Legato,nm0499215
Q61260,Gustaf Gründgens,nm0345073
Q61347,Uwe Boll,nm0093051
Q39666,Penélope Cruz,nm0004851
Q11322,Louis King,nm0003422
Q8877,Steven Spielberg,nm0000229
Q11930,Kevin Costner,nm0000126
Q8743,Thomas Alva Edison,nm0249379
Q271162,Jennifer Lynch,nm0528337
Q271247,Naomi Kawase,nm0442905
Q271256,Ronee Blakley,nm0086867
Q218686,David Cage,nm1317665
Q218800,David Oyelowo,nm0654648
Q218845,Zoltan Korda,nm0466113
Q11330,Masato Harada,nm0361735
Q11333,Kevin Yagher,nm0944892
Q55401,Kenji Mizoguchi,nm0003226
Q271926,Claudia Karvan,nm0440286
Q271948,Rachel Ward,nm0001829
Q11319,David DeCoteau,nm0213983
Q11321,Karl Brown,nm0113954
Q40026,Sylvester Stallone,nm0000230
Q51530,Jerzy Skolimowski,nm0804592
Q272678,Mary Lambert,nm0005116
Q272718,Çağan Irmak,nm1463981
Q51503,Franklin J. Schaffner,nm0769874
Q51506,Richard Attenborough,nm0000277
Q218211,Zoe Lister-Jones,nm1830380
Q218311,François Jacob,nm4146902
Q270774,Julia Sweeney,nm0842140
Q270837,Tsitsi Dangarembga,nm0199483
Q9557,Aamir Khan,nm0451148
Q271824,Edgar Wallace,nm0908624
Q40645,Ludwig Berger,nm0003490
Q40646,Géza von Bolváry,nm0902006
Q40701,Joseph Strick,nm0834334
Q40715,Jennifer Lopez,nm0000182
Q39982,Bud Cort,nm0001069
Q219332,Masayuki Kojima,nm0463628
Q219373,Elizabeth Banks,nm0006969
Q39829,Stephen King,nm0000175
Q217376,Lee Cheol-ha,nm2453579
Q218022,Alain Resnais,nm0720297
Q218483,Zola Maseko,nm0563220
Q218532,John Candy,nm0001006
Q40263,Jay Grdina,nm0827542
Q40531,John Wayne,nm0000078
Q51498,Robert Siodmak,nm0802563
Q51499,Curtis Bernhardt,nm0076779
Q61859,Henry Koster,nm0467396
Q51541,Nicolas Roeg,nm0001676
Q51545,Luis Buñuel,nm0000320
Q220308,Seth Rogen,nm0736622
Q220480,Zora Neale Hurston,nm0403678
Q51535,Vincente Minnelli,nm0591486
Q51537,Mike Nichols,nm0001566
Q218847,Zoltan Paul,nm0667041
Q218851,Zoltan Spirandelli,nm0472114
Q218911,Zoltán Fábri,nm0299586
Q219546,Albert Finney,nm0001215
Q51552,Roman Polanski,nm0000591
Q51559,Sidney Lumet,nm0001486
Q40035,Richard Linklater,nm0000500
Q40143,Janeane Garofalo,nm0000413
Q272019,Don Cheadle,nm0000332
Q12003,Cher,nm0000333
Q51522,Sydney Pollack,nm0001628
Q51525,Miloš Forman,nm0001232
Q51519,Alan J. Pakula,nm0001587
Q12006,Dave Grohl,nm0342970
Q220751,Bryan Singer,nm0001741
Q220864,Vicente Leñero,nm0508200
Q221074,Bud Spencer,nm0817881
Q272783,Safi Faye,nm0269682
Q272804,Emmanuelle Bercot,nm0073384
Q40791,Sandra Bullock,nm0000113
Q85134,Joe May,nm0562004
Q85159,Karl Grune,nm0344583
Q85178,Michael Dante DiMartino,nm0227204
Q12054,Bernard Werber,nm1182776
Q12089,Jorge Délano Frederick,nm0246344
Q51547,Billy Wilder,nm0000697
Q272032,Nicki Hunter,nm0402984
Q272232,Rie Rasmussen,nm1051346
Q272433,Krystyna Janda,nm0417370
Q219499,Erle C. Kenton,nm0448915
Q219507,Simon Kinberg,nm1334526
Q272810,Çetin İnanç,nm0408392
Q14747,Sancho Gracia,nm0333466
Q15935,Kanye West,nm1577190
Q11335,Joseph Zito,nm0957263
Q11338,Jack Sholder,nm0794791
Q271967,Greta Gerwig,nm1950086
Q272014,Konkona Sen Sharma,nm1234298
Q272917,Cheryl Hines,nm0385644
Q272944,Danielle Harris,nm0364583
Q273136,Ryan Phillippe,nm0000202
Q273164,Patricia Rozema,nm0005390
Q220918,Emilio Estevez,nm0000389
Q40572,Heath Ledger,nm0005132
Q219646,Vicente Blasco Ibáñez,nm0087658
Q219075,Zoltán Várkonyi,nm0904651
