wikidata_id,name,imdb_id
Q34460,Gwyneth Paltrow,nm0000569
Q35358,Richard Norton,nm0636280
Q14536,Seth Meyers,nm1024878
Q14537,Bill Hader,nm0352778
Q35742,Alektra Blue,nm1956654
Q35912,Emmy Rossum,nm0002536
Q2685,Arnold Schwarzenegger,nm0000216
Q16428,Fritz Schediwy,nm0770406
Q35385,Glukoza,nm2447028
Q35387,Ariana Jollee,nm1355410
Q2750,Bourvil,nm0100186
Q41034,Julie Adams,nm0011105
Q2757,Lech Kaczyński,nm1007332
Q16345,Leonard Nimoy,nm0000559
Q16349,DeForest Kelley,nm0001420
Q41148,Martin Scorsese,nm0000217
Q16379,Sabyasachi Chakraborty,nm0149837
Q16390,Humphrey Bogart,nm0000007
Q35011,Frances Fisher,nm0004920
Q35332,Brad Pitt,nm0000093
Q36222,Ariel Rebel,nm3861907
Q36226,Amber Rayne,nm2285884
Q41163,Al Pacino,nm0000199
Q16472,Robert Mitchum,nm0000053
Q2597,Johanna Braddy,nm1715189
Q2643,George Harrison,nm0365600
Q41351,Jodie Foster,nm0000149
Q28262,Joel Kinnaman,nm1172478
Q2680,Bruce Willis,nm0000246
Q41222,Martxelo Rubio,nm0748358
Q41224,Kandido Uranga,nm0881561
Q16455,John Rhys-Davies,nm0722636
Q41715,Revalina Sayuthi Temat,nm2680444
Q41871,Paul Newman,nm0000056
Q41340,Katherine LaNasa,nm0478762
Q41342,Mary Tyler Moore,nm0001546
Q35937,Ashlynn Brooke,nm2516967
Q41233,Timothy Dalton,nm0001096
Q28310,Scott Adkins,nm0012078
Q28463,Bérénice Marlohe,nm2966102
Q40715,Jennifer Lopez,nm0000182
Q28211,Mireille Enos,nm0257969
Q28254,Vanessa Branch,nm0104376
Q35998,Aria Giovanni,nm1020082
Q36105,Charles Bronson,nm0000314
Q35393,Anja Juliette Laval,nm1473842
Q35454,Ava Vincent,nm0885287
Q35477,Alina Plugaru,nm2687469
Q16872,Aaron Kwok,nm0477209
Q18219,A. J. Buckley,nm0118568
Q18222,A. J. Cook,nm0176882
Q16836,Leon Lai,nm0481709
Q36441,Aurora Snow,nm0811239
Q36767,Robert Pattinson,nm1500155
Q16473,Steve Martin,nm0000188
Q16758,Ed O'Neill,nm0642145
Q2709,Sasha Grey,nm2340248
Q2737,Louis de Funès,nm0000086
Q28732,Beth Broderick,nm0110803
Q28755,Matthew Broderick,nm0000111
Q36153,Beyoncé,nm0461498
Q16766,Andy Lau,nm0490489
Q16781,Jacky Cheung,nm0156484
Q35480,Ashley Long,nm1179790
Q35640,Mikel Martinez,nm1932775
Q35642,Maria Cruickshank,nm3861745
Q18916,Gregory Smith,nm0808376
Q18918,Sam Witwer,nm1022429
Q3603,Jack Angel,nm0029460
Q3671,Justin Chadwick,nm0149491
Q28498,Brendan Sexton III,nm0786639
Q28558,Patricia Navidad,nm0623109
Q28702,Jacques Bousquet,nm0100222
Q3772,Quentin Tarantino,nm0000233
Q18989,Ryan Newman,nm1707018
Q18992,Gregory Itzin,nm0411857
Q28288,Eddie Redmayne,nm1519666
Q2808,Elton John,nm0005056
Q42598,Ted DiBiase Jr.,nm3078959
Q41396,Josh Brolin,nm0000982
Q42335,Martin Weinek,nm0918194
Q42581,Keira Knightley,nm0461136
Q36195,Molly Quinn,nm0703939
Q16759,Kaley Cuoco,nm0192505
Q36301,Anne Hathaway,nm0004266
Q41449,Michael Shannon,nm0788335
Q36268,Brigitte Bardot,nm0000003
Q3195,Geoffrey Arend,nm0034309
Q3319,Yukiko Kobayashi,nm0462085
Q36434,Audrey Hollander,nm1645483
Q18933,Rhoda Griffis,nm0341421
Q18938,Thomas Jane,nm0005048
Q28493,Ralph Fiennes,nm0000146
Q2831,Michael Jackson,nm0001391
Q28717,Mel Rodriguez,nm0735440
Q28487,Bérénice Bejo,nm0067367
Q3925,Grace Kelly,nm0000038
Q42204,Hugo Weaving,nm0915989
Q42229,Mel Gibson,nm0000154
Q29055,Sacha Baron Cohen,nm0056187
Q18735,Kotono Mitsuishi,nm0594074
Q18914,Hwang Sun-won,nm1305264
Q41422,Mark Ruffalo,nm0749263
Q28941,Frank Lloyd,nm0515979
Q28998,Reinhold Schünzel,nm0778306
Q19031,Zak Penn,nm0672015
Q19154,Graham Norton,nm0636218
Q28921,Hanna Schygulla,nm0778016
Q42869,Nicolas Cage,nm0000115
Q36980,George Peppard,nm0000577
Q29086,Matthew Lillard,nm0000498
Q29092,Desmond Llewelyn,nm0005155
Q4028,Paul Simon,nm0800328
Q4042,CeeLo Green,nm0123741
Q42101,Denzel Washington,nm0000243
Q29878,Jacques Balutin,nm0051281
Q41528,Arlene Harris,nm0364441
Q41548,Antonio Banderas,nm0000104
Q29328,Brie Larson,nm0488953
Q29735,Nathaniel Buzolic,nm1692762
Q36949,Robert De Niro,nm0000134
Q37150,Lana Del Rey,nm4787894
Q19190,Rupert Grint,nm0342488
Q4109,Chris Rock,nm0001674
Q29898,Faye Adell,nm0008888
Q30449,Avril Lavigne,nm1245099
Q36881,Madhubala,nm0534870
Q18947,Laurie Holden,nm0390229
Q18953,Peter DeLuise,nm0217938
Q30510,María Dolores Pradera,nm0694977
Q30585,Bailey Jay,nm4087869
Q30628,Tera Patrick,nm0665927
Q36970,Jackie Chan,nm0000329
Q29250,Bill Murray,nm0000195
Q3910,"Albert II, Prince of Monaco",nm0697604
Q19794,Josh Duhamel,nm0241049
Q37001,Toshirō Mifune,nm0001536
Q4223,Julian McMahon,nm0573037
Q4227,James Coburn,nm0000336
Q4212,Ned Beatty,nm0000885
Q20178,Joe Pesci,nm0000582
Q3990,Jeffrey Garcia,nm0305261
Q42775,Johnny Cash,nm0143599
Q42671,Frank Gorshin,nm0331319
Q42745,Rita Hayworth,nm0000028
Q43137,Sofia Rotaru,nm0744719
Q4488,Clancy Brown,nm0000317
Q20119,Jean Shrimpton,nm0795398
Q20145,IU,nm4653224
Q19198,Chester Bennington,nm1057933
Q4235,Miley Cyrus,nm1415323
Q86589,Gabriel Barylli,nm0059509
Q86632,Dietmar Schönherr,nm0778220
Q86638,Friedrich von Ledebur,nm0496428
Q4058,Kayla Ewell,nm0263881
Q37615,Luciano Pavarotti,nm0667556
Q18994,Luise Rainer,nm0707023
Q43044,Demi Moore,nm0000193
Q19504,Fritz Lang,nm0000485
Q37175,Johnny Depp,nm0000136
Q37628,Mila Kunis,nm0005109
Q4119,Adam Carolla,nm0004805
Q4145,Patrice O'Neal,nm1169306
Q4189,Claire Holt,nm2322853
Q87033,Benjamin Trinks,nm2130716
Q87042,Oskar Karlweis,nm0439718
Q87097,Aglaja Brix,nm1021231
Q87112,Gustav Diessl,nm0226158
Q42930,Dustin Hoffman,nm0000163
Q42786,Audrey Hepburn,nm0000030
Q19155,Henry Fonda,nm0000020
Q37459,Nicole Kidman,nm0000173
Q87145,Carl Esmond,nm0260722
Q87148,Hermann Vallentin,nm0885030
Q87182,Alfred Neugebauer,nm0626909
Q23359,Taylor Lautner,nm1210124
Q37079,Tom Cruise,nm0000129
Q86739,Carl-Heinz Schroth,nm0775594
Q86750,Immy Schell,nm0005395
Q86767,Erwin Leder,nm0496441
Q20150,Psy,nm4915994
Q4408,Mr. Lawrence,nm0492951
Q4440,Eric Bana,nm0051509
Q86682,Walter Riml,nm0727270
Q86701,Ernst Bader,nm0046037
Q86712,Leonard Proxauf,nm2428625
Q86718,Elisabeth Trissenaar,nm0873142
Q22072,John Farnham,nm0267866
Q22563,Gerd Dudenhöffer,nm0240060
Q22575,Nicolas König,nm0477909
Q19845,Geri Horner,nm0001312
Q86907,Felix Basch,nm0059648
Q86919,Devid Striesow,nm0834479
Q86921,Karl Günther,nm0351602
Q87304,Mathias Herrmann,nm0380761
Q87305,Magda Sonja,nm0814351
Q87322,Klaus J. Behrendt,nm0067038
Q23301,Roberto Benigni,nm0000905
Q37944,Masiela Lusha,nm1126641
Q87279,Rudolf Wessely,nm0921840
Q87280,Robinson Reichel,nm0717006
Q87283,Arthur Bergen,nm0074029
Q87301,Peter Illing,nm0407810
Q86778,Alfred Braun,nm0105713
Q86840,Herb Andress,nm0028459
Q86880,Ressel Orla,nm0649916
Q86892,Franz Tscherne,nm0874791
Q4490,Zach Gilford,nm1472917
Q4491,Anna Faris,nm0267506
Q43764,Hans Kraus,nm0470125
Q43766,Robert Palfrader,nm2349746
Q43769,Ottfried Fischer,nm0279074
Q37876,Natalie Portman,nm0000204
Q38554,Dominique Pinon,nm0684500
Q43326,Lars-Erik Berenett,nm0073512
Q43416,Keanu Reeves,nm0000206
Q43252,Sophia Loren,nm0000047
Q43247,Ingrid Bergman,nm0000006
Q4461,Troian Bellisario,nm0069079
Q4473,Jennette McCurdy,nm1390614
Q22675,Tom Wlaschiha,nm0937239
Q23261,Hideaki Anno,nm0030417
Q38111,Leonardo DiCaprio,nm0000138
Q43697,Jean Reno,nm0000606
Q43763,Wolfgang Völz,nm0905061
Q87336,Stefan Schnabel,nm0773608
Q87350,Irene Clarin,nm0163585
Q87365,Maria Holst,nm0392318
Q87242,Robert Valberg,nm0883519
Q87263,Hans Holt,nm0392436
Q87272,Johanna Hofer,nm0388682
Q88989,Thorsten Grasshoff,nm0335886
Q88997,Ferdy Mayne,nm0562807
Q89000,Harald Krassnitzer,nm0469983
Q89032,Michael Mendl,nm0579159
Q43770,Karl Merkatz,nm0580901
Q43774,Gustl Bayrhammer,nm0063210
Q43781,Michael Lerchenberg,nm0503488
Q23466,Chris Pine,nm1517976
Q87192,Annie Rosar,nm0000311
Q87198,Franziska Kinz,nm0455953
Q87200,Rudolf Forster,nm0286993
Q87231,Horst Janson,nm0418111
Q4605,Sarah Bernhardt,nm0076800
Q38119,Daniel Radcliffe,nm0705356
Q87184,Erika Remberg,nm0718878
Q87186,Rudolf Carl,nm0137290
Q87190,Alfons Fryland,nm0296937
Q20235,Franzl Lang,nm0485749
Q4573,Sean Connery,nm0000125
Q4293,Jon Abrahams,nm0009016
Q4349,Jimmy Bennett,nm1497548
Q89052,Ezard Haußmann,nm0369685
Q89056,Georg Tressler,nm0872274
Q89060,Arnold Korff,nm0466232
Q4518,Alison Lohman,nm0517844
Q4538,Jonathan Winters,nm0005565
Q43203,Clint Eastwood,nm0000142
Q89182,Marie Theres Kroetz-Relin,nm0718800
Q89187,Harry Halm,nm0356822
Q89189,Heinz Reincke,nm0717946
Q89263,Lucie Englisch,nm0257579
Q4547,Daniel Craig,nm0185819
Q4509,Chloë Grace Moretz,nm1631269
Q38160,Waris Ahluwalia,nm1753302
Q38222,George Lucas,nm0000184
Q86977,Diana Körner,nm0477981
Q86982,Hertha von Walther,nm0903189
Q86996,Birthe Wolter,nm0938741
Q87018,Karl Farkas,nm0267582
Q87394,Hermann Wlach,nm0937225
Q87395,Tobias Schenke,nm0770914
Q87396,Lore Lorentz,nm1560453
Q87397,Alina Freund,nm2127082
Q89074,Louis Ralph,nm0707778
Q89092,Joseph Furst,nm0299822
Q89096,Ursula Strauss,nm1306697
Q89130,Pierre Semmler,nm0783838
Q89155,Werner Dissel,nm0228427
Q89181,Max Adalbert,nm0010494
Q4612,Marlene Dietrich,nm0000017
Q23728,Larry David,nm0202970
Q38875,Mos Def,nm0080049
Q38302,Wolf Albach-Retty,nm0016208
Q38393,Asha Bhosle,nm0080427
Q23760,Rowan Atkinson,nm0000100
Q87325,Egon von Jordan,nm0902494
Q87327,Eugen Neufeld,nm0626879
Q87330,Werner Schnitzer,nm0774215
Q87333,Simon Schwarz,nm0777649
Q87606,Sebastian Ströbel,nm0835486
Q87618,Louis Nerz,nm0626326
Q87625,Hans Unterkircher,nm0007207
Q87651,Friedrich Feher,nm0270415
Q87448,Carsta Löck,nm0530424
Q87452,Hans Stiebner,nm0830046
Q87456,Erwin Faber,nm0264477
Q87367,Fritz Imhoff,nm0408188
Q87372,Maria Reisenhofer,nm0718412
Q87379,Sophie von Kessel,nm0902516
Q87390,Stefan Weber,nm2553405
Q87459,Yvonne Maria Schäfer,nm1908742
Q87460,Walter Kohut,nm0463491
Q87468,John Gottowt,nm0332024
Q87486,Karl Schönböck,nm0778179
Q4616,Marilyn Monroe,nm0000054
Q87561,Gerhart Lippert,nm0513611
Q87571,Wolfgang Kieling,nm0452471
Q87589,Thomas Ohrner,nm0645176
Q87593,Karl Hellmer,nm0375517
Q87403,Richard Eybner,nm0264107
Q87413,Klaus Pohl,nm0688332
Q87414,Eddi Arent,nm0034357
Q89103,Suzan Anbeh,nm0025774
Q89105,Ingeborg Hallstein,nm0356772
Q89117,Peter Weck,nm0917076
Q89119,Hans Putz,nm0701311
Q87542,Ursula Thiess,nm0858081
Q87546,Carl Balhaus,nm0050830
Q87558,Carl de Vogt,nm0212234
Q87560,Agnes Straub,nm0833697
Q89064,Georg Marischka,nm0548096
Q89065,Eva Christian,nm0160019
Q89069,Fanny Schreck,nm0775173
Q89070,Andrea Eckert,nm0248600
Q87594,Emilia Schüle,nm2163092
Q87595,Hugo Flink,nm0282348
Q87597,Sona MacDonald,nm0531942
Q87417,Traudl Stark,nm0823278
Q23811,Karl Pilkington,nm1797453
Q23814,Stephen Merchant,nm0580351
Q23527,Tim Minchin,nm2423358
Q23543,Selena,nm0702373
Q89480,Anna Führing,nm1486621
Q4636,Barbra Streisand,nm0000659
Q87498,Oscar Sabo,nm0754831
Q87505,Ida Ehre,nm0251266
Q87519,Louis Treumann,nm0872325
Q23858,John Belushi,nm0000004
Q89424,Wolfram Berger,nm0074397
Q89432,Rudolf Klein-Rhoden,nm0459029
Q89434,Gunther Philipp,nm0679973
Q23365,Jeremy Renner,nm0719637
Q87428,Lothar Warneke,nm0912383
Q87432,Florian David Fitz,nm1164552
Q87436,Will Quadflieg,nm0702729
Q89273,Hilde von Stolz,nm0903055
Q89284,Waldemar Kobus,nm0462201
Q89338,Johannes Hauer,nm2449314
Q89342,Constanze Engelbrecht,nm0257183
Q23547,Bryan Cranston,nm0186505
Q89357,Rudolf Rhomberg,nm0722571
Q89358,Ekkehardt Belle,nm0068798
Q23842,Jean Gabin,nm0300064
Q89368,Karlheinz Hackl,nm0352528
